date,symbol,asset_type,strategy,position,close
2025-08-04,TLKM,stock_id,Buy & Hold (benchmark),1.0,2801.556640625
2025-08-05,TLKM,stock_id,Buy & Hold (benchmark),1.0,2801.556640625
2025-08-06,TLKM,stock_id,Buy & Hold (benchmark),1.0,2764.572265625
2025-08-07,TLKM,stock_id,Buy & Hold (benchmark),1.0,2727.588134765625
2025-08-08,TLKM,stock_id,Buy & Hold (benchmark),1.0,2718.342041015625
2025-08-11,TLKM,stock_id,Buy & Hold (benchmark),1.0,2764.572265625
2025-08-12,TLKM,stock_id,Buy & Hold (benchmark),1.0,2940.24755859375
2025-08-13,TLKM,stock_id,Buy & Hold (benchmark),1.0,3106.6767578125
2025-08-14,TLKM,stock_id,Buy & Hold (benchmark),1.0,3162.153076171875
2025-08-15,TLKM,stock_id,Buy & Hold (benchmark),1.0,3060.4462890625
2025-08-19,TLKM,stock_id,Buy & Hold (benchmark),1.0,3004.969970703125
2025-08-20,TLKM,stock_id,Buy & Hold (benchmark),1.0,2977.231689453125
2025-08-21,TLKM,stock_id,Buy & Hold (benchmark),1.0,3004.969970703125
2025-08-22,TLKM,stock_id,Buy & Hold (benchmark),1.0,2995.723876953125
2025-08-25,TLKM,stock_id,Buy & Hold (benchmark),1.0,3060.4462890625
2025-08-26,TLKM,stock_id,Buy & Hold (benchmark),1.0,3014.216064453125
2025-08-27,TLKM,stock_id,Buy & Hold (benchmark),1.0,2931.00146484375
2025-08-28,TLKM,stock_id,Buy & Hold (benchmark),1.0,2940.24755859375
2025-08-29,TLKM,stock_id,Buy & Hold (benchmark),1.0,2894.017333984375
2025-09-01,TLKM,stock_id,Buy & Hold (benchmark),1.0,2875.525146484375
2025-09-02,TLKM,stock_id,Buy & Hold (benchmark),1.0,2838.540771484375
2025-09-03,TLKM,stock_id,Buy & Hold (benchmark),1.0,2875.525146484375
2025-09-04,TLKM,stock_id,Buy & Hold (benchmark),1.0,2912.50927734375
2025-09-08,TLKM,stock_id,Buy & Hold (benchmark),1.0,2857.032958984375
2025-09-09,TLKM,stock_id,Buy & Hold (benchmark),1.0,2820.048828125
2025-09-10,TLKM,stock_id,Buy & Hold (benchmark),1.0,2912.50927734375
2025-09-11,TLKM,stock_id,Buy & Hold (benchmark),1.0,2847.786865234375
2025-09-12,TLKM,stock_id,Buy & Hold (benchmark),1.0,2866.279052734375
2025-09-15,TLKM,stock_id,Buy & Hold (benchmark),1.0,3014.216064453125
2025-09-16,TLKM,stock_id,Buy & Hold (benchmark),1.0,3051.2001953125
2025-09-17,TLKM,stock_id,Buy & Hold (benchmark),1.0,3088.1845703125
2025-09-18,TLKM,stock_id,Buy & Hold (benchmark),1.0,3004.969970703125
2025-09-19,TLKM,stock_id,Buy & Hold (benchmark),1.0,2986.477783203125
2025-09-22,TLKM,stock_id,Buy & Hold (benchmark),1.0,2977.231689453125
2025-09-23,TLKM,stock_id,Buy & Hold (benchmark),1.0,2949.49365234375
2025-09-24,TLKM,stock_id,Buy & Hold (benchmark),1.0,2921.75537109375
2025-09-25,TLKM,stock_id,Buy & Hold (benchmark),1.0,2884.771240234375
2025-09-26,TLKM,stock_id,Buy & Hold (benchmark),1.0,2875.525146484375
2025-09-29,TLKM,stock_id,Buy & Hold (benchmark),1.0,2847.786865234375
2025-09-30,TLKM,stock_id,Buy & Hold (benchmark),1.0,2829.294921875
2025-10-01,TLKM,stock_id,Buy & Hold (benchmark),1.0,2829.294921875
2025-10-02,TLKM,stock_id,Buy & Hold (benchmark),1.0,2894.017333984375
2025-10-03,TLKM,stock_id,Buy & Hold (benchmark),1.0,2838.540771484375
2025-10-06,TLKM,stock_id,Buy & Hold (benchmark),1.0,2783.064453125
2025-10-07,TLKM,stock_id,Buy & Hold (benchmark),1.0,2783.064453125
2025-10-08,TLKM,stock_id,Buy & Hold (benchmark),1.0,2764.572265625
2025-10-09,TLKM,stock_id,Buy & Hold (benchmark),1.0,2783.064453125
2025-10-10,TLKM,stock_id,Buy & Hold (benchmark),1.0,2810.802734375
2025-10-13,TLKM,stock_id,Buy & Hold (benchmark),1.0,2792.310546875
2025-10-14,TLKM,stock_id,Buy & Hold (benchmark),1.0,2736.834228515625
2025-10-15,TLKM,stock_id,Buy & Hold (benchmark),1.0,2847.786865234375
2025-10-16,TLKM,stock_id,Buy & Hold (benchmark),1.0,2727.588134765625
2025-10-17,TLKM,stock_id,Buy & Hold (benchmark),1.0,2662.86572265625
2025-10-20,TLKM,stock_id,Buy & Hold (benchmark),1.0,2718.342041015625
2025-10-21,TLKM,stock_id,Buy & Hold (benchmark),1.0,3032.708251953125
2025-10-22,TLKM,stock_id,Buy & Hold (benchmark),1.0,2912.50927734375
2025-10-23,TLKM,stock_id,Buy & Hold (benchmark),1.0,3106.6767578125
2025-10-24,TLKM,stock_id,Buy & Hold (benchmark),1.0,3041.9541015625
2025-10-27,TLKM,stock_id,Buy & Hold (benchmark),1.0,3078.9384765625
2025-10-28,TLKM,stock_id,Buy & Hold (benchmark),1.0,3143.660888671875
